id_comune,denominazione,datetime,positivi,positivi_1000
103079,Valle Cannobina,2021-01-28 18:30:00,1,2.06
103078,Borgomezzavalle,2021-01-28 18:30:00,1,3.17
103077,Vogogna,2021-01-28 18:30:00,2,1.14
103076,Villette,2021-01-28 18:30:00,0,0.0
103075,Villadossola,2021-01-28 18:30:00,13,1.99
103074,Vignone,2021-01-28 18:30:00,2,1.67
103072,Verbania,2021-01-28 18:30:00,114,3.74
103071,Varzo,2021-01-28 18:30:00,4,1.98
103070,Vanzone con San Carlo,2021-01-28 18:30:00,0,0.0
103069,Valstrona,2021-01-28 18:30:00,9,7.4
103068,Trontano,2021-01-28 18:30:00,9,5.39
103067,Trasquera,2021-01-28 18:30:00,0,0.0
103066,Trarego Viggiona,2021-01-28 18:30:00,4,9.59
103065,Toceno,2021-01-28 18:30:00,4,5.49
103064,Stresa,2021-01-28 18:30:00,9,1.85
103062,Santa Maria Maggiore,2021-01-28 18:30:00,1,0.77
103061,San Bernardino Verbano,2021-01-28 18:30:00,2,1.52
103060,Re,2021-01-28 18:30:00,0,0.0
103059,Quarna Sotto,2021-01-28 18:30:00,0,0.0
103058,Quarna Sopra,2021-01-28 18:30:00,0,0.0
103057,Premosello-Chiovenda,2021-01-28 18:30:00,11,5.67
103056,Premia,2021-01-28 18:30:00,0,0.0
103055,Premeno,2021-01-28 18:30:00,2,2.74
103054,Pieve Vergonte,2021-01-28 18:30:00,5,1.99
103053,Piedimulera,2021-01-28 18:30:00,4,2.63
103052,Pallanzeno,2021-01-28 18:30:00,4,3.48
103051,Ornavasso,2021-01-28 18:30:00,8,2.33
103050,Omegna,2021-01-28 18:30:00,79,5.2
103049,Oggebbio,2021-01-28 18:30:00,0,0.0
103048,Nonio,2021-01-28 18:30:00,4,4.65
103047,Montescheno,2021-01-28 18:30:00,0,0.0
103046,Montecrestese,2021-01-28 18:30:00,5,3.93
103045,Miazzina,2021-01-28 18:30:00,1,2.62
103044,Mergozzo,2021-01-28 18:30:00,9,4.16
103043,Massiola,2021-01-28 18:30:00,1,7.94
103042,Masera,2021-01-28 18:30:00,5,3.38
103041,Malesco,2021-01-28 18:30:00,0,0.0
103040,Madonna del Sasso,2021-01-28 18:30:00,0,0.0
103039,Macugnaga,2021-01-28 18:30:00,0,0.0
103038,Loreglia,2021-01-28 18:30:00,4,17.17
103037,Intragna,2021-01-28 18:30:00,0,0.0
103036,Gurro,2021-01-28 18:30:00,0,0.0
103035,Gravellona Toce,2021-01-28 18:30:00,23,2.95
103034,Gignese,2021-01-28 18:30:00,0,0.0
103033,Ghiffa,2021-01-28 18:30:00,13,5.52
103032,Germagno,2021-01-28 18:30:00,2,10.53
103031,Formazza,2021-01-28 18:30:00,0,0.0
103029,Druogno,2021-01-28 18:30:00,3,2.82
103028,Domodossola,2021-01-28 18:30:00,35,1.93
103026,Crodo,2021-01-28 18:30:00,4,2.86
103025,Crevoladossola,2021-01-28 18:30:00,21,4.57
103024,Craveggia,2021-01-28 18:30:00,0,0.0
103023,Cossogno,2021-01-28 18:30:00,11,16.2
103022,Cesara,2021-01-28 18:30:00,1,1.68
103021,Ceppo Morelli,2021-01-28 18:30:00,0,0.0
103019,Casale Corte Cerro,2021-01-28 18:30:00,15,4.33
103018,Caprezzo,2021-01-28 18:30:00,2,11.83
103017,Cannobio,2021-01-28 18:30:00,17,3.32
103016,Cannero Riviera,2021-01-28 18:30:00,0,0.0
103015,Cambiasca,2021-01-28 18:30:00,10,6.16
103014,Calasca-Castiglione,2021-01-28 18:30:00,0,0.0
103013,Brovello-Carpugnino,2021-01-28 18:30:00,1,1.41
103012,Bognanco,2021-01-28 18:30:00,0,0.0
103011,Beura-Cardezza,2021-01-28 18:30:00,5,3.41
103010,Belgirate,2021-01-28 18:30:00,1,1.99
103009,Bee,2021-01-28 18:30:00,3,3.97
103008,Baveno,2021-01-28 18:30:00,19,3.86
103007,Bannio Anzino,2021-01-28 18:30:00,2,4.18
103006,Baceno,2021-01-28 18:30:00,15,16.72
103005,Aurano,2021-01-28 18:30:00,1,9.71
103004,Arola,2021-01-28 18:30:00,1,4.12
103003,Arizzano,2021-01-28 18:30:00,1,0.5
103002,Anzola d'Ossola,2021-01-28 18:30:00,0,0.0
103001,Antrona Schieranco,2021-01-28 18:30:00,0,0.0
096088,Valdilana,2021-01-28 18:30:00,14,1.29
096087,Quaregna Cerreto,2021-01-28 18:30:00,1,0.49
096086,Campiglia Cervo,2021-01-28 18:30:00,2,3.98
096085,Lessona,2021-01-28 18:30:00,3,1.1
096083,Zumaglia,2021-01-28 18:30:00,2,1.96
096082,Zubiena,2021-01-28 18:30:00,0,0.0
096081,Zimone,2021-01-28 18:30:00,2,5.01
096080,Viverone,2021-01-28 18:30:00,4,2.83
096079,Villanova Biellese,2021-01-28 18:30:00,0,0.0
096078,Villa del Bosco,2021-01-28 18:30:00,1,2.99
096077,Vigliano Biellese,2021-01-28 18:30:00,14,1.83
096076,Verrone,2021-01-28 18:30:00,1,0.8
096075,Veglio,2021-01-28 18:30:00,0,0.0
096074,Valle San Nicolao,2021-01-28 18:30:00,0,0.0
096072,Vallanzengo,2021-01-28 18:30:00,1,4.63
096071,Valdengo,2021-01-28 18:30:00,4,1.63
096069,Torrazzo,2021-01-28 18:30:00,0,0.0
096068,Tollegno,2021-01-28 18:30:00,4,1.63
096067,Ternengo,2021-01-28 18:30:00,0,0.0
096066,Tavigliano,2021-01-28 18:30:00,4,4.31
096065,Strona,2021-01-28 18:30:00,0,0.0
096064,Sostegno,2021-01-28 18:30:00,5,6.5
096063,Sordevolo,2021-01-28 18:30:00,0,0.0
096059,Sandigliano,2021-01-28 18:30:00,3,1.12
096058,Salussola,2021-01-28 18:30:00,1,0.52
096057,Sala Biellese,2021-01-28 18:30:00,0,0.0
096056,Sagliano Micca,2021-01-28 18:30:00,5,3.12
096055,Rosazza,2021-01-28 18:30:00,0,0.0
096054,Roppolo,2021-01-28 18:30:00,0,0.0
